Customer ID,Name,First order date,Total orders,Total revenue,Average order value,Time to 2nd purchase,Last purchase date,Acquisition channel (first touch),RePurchased,city,tier
CUST-0000001,Tejas Sarkar,2025-09-08,1,3356,3356.0,,2025-09-08,Meta,N,Mumbai , Tier 1
CUST-0000003,Lila Bedi,2023-09-11,1,2360,2360.0,,2023-09-11,Google,N,Bengaluru , Tier 1
CUST-0000004,Hamsini Parekh,2022-03-18,2,4029,2014.5,449.0,2023-06-11,Google,Y,Hyderabad , Tier 1
CUST-0000005,Yug Gill,2025-10-16,1,2581,2581.0,,2025-10-16,Offline (Friends/Family),N,Delhi , Tier 1
CUST-0000007,Daksha Ramaswamy,2024-03-11,2,5365,2682.5,303.0,2025-01-08,Meta,Y,Bengaluru , Tier 1
CUST-0000009,Darpan Bhagat,2022-02-21,2,3275,1637.5,60.0,2022-04-22,Influencer,Y,Nashik , Tier 2
CUST-0000012,Gopal Bali,2025-09-07,1,3215,3215.0,,2025-09-07,Meta,N,Noida , Tier 2
CUST-0000013,Ayush Hegde,2023-02-26,1,1746,1746.0,,2023-02-26,Meta,N,Surat , Tier 2
CUST-0000014,Viraj Malhotra,2024-03-13,1,2426,2426.0,,2024-03-13,Google,N,Chennai , Tier 1
CUST-0000015,Ishita Mody,2023-07-22,1,1993,1993.0,,2023-07-22,Offline (Friends/Family),N,Delhi , Tier 1
CUST-0000016,Sneha Gulati,2022-08-14,1,1708,1708.0,,2022-08-14,Meta,N,Mumbai , Tier 1
CUST-0000018,Charvi Deol,2024-04-25,1,3419,3419.0,,2024-04-25,Meta,N,Delhi , Tier 1
CUST-0000019,Tristan Morar,2024-10-04,2,5919,2959.5,149.0,2025-03-02,Offline (Friends/Family),Y,Rajkot , Tier 2
CUST-0000020,Anya Sabharwal,2023-03-12,1,1803,1803.0,,2023-03-12,Google,N,Delhi , Tier 1
CUST-0000022,Lajita Doshi,2024-10-20,1,2179,2179.0,,2024-10-20,Meta,N,Ahmedabad , Tier 1
CUST-0000023,Amara Swamy,2023-10-26,1,2256,2256.0,,2023-10-26,Meta,N,Mumbai , Tier 1
CUST-0000029,Tejas Roy,2024-08-07,1,2371,2371.0,,2024-08-07,Meta,N,Nashik , Tier 2
CUST-0000030,Sathvik Bose,2023-04-11,2,4376,2188.0,705.0,2025-03-16,Organic Instagram,Y,Ahmedabad , Tier 1
CUST-0000032,Yoshita Samra,2022-04-10,1,1460,1460.0,,2022-04-10,Instagram DM,N,Chennai , Tier 1
CUST-0000033,Ojasvi Vaidya,2024-03-01,1,2555,2555.0,,2024-03-01,Meta,N,Patna , Tier 2
CUST-0000036,Tejas Dasgupta,2024-10-11,3,8731,2910.33,74.0,2025-12-28,Influencer,Y,Surat , Tier 2
CUST-0000037,Finn Mangat,2022-04-16,1,1600,1600.0,,2022-04-16,Meta,N,Nashik , Tier 2
CUST-0000038,Jonathan Agate,2023-03-03,1,1978,1978.0,,2023-03-03,Google,N,Delhi , Tier 1
CUST-0000040,Yashica Shanker,2022-04-04,2,4250,2125.0,708.0,2024-03-12,Meta,Y,Lucknow , Tier 2
CUST-0000042,Saksham Sharaf,2022-12-22,3,6274,2091.33,100.0,2025-10-23,Email/SMS,Y,Dehradun , Tier 2
CUST-0000043,Gopal Dasgupta,2022-11-06,3,7391,2463.67,166.0,2025-08-27,Meta,Y,Noida , Tier 2
CUST-0000048,Anirudh Chakraborty,2023-10-23,1,2091,2091.0,,2023-10-23,Meta,N,Delhi , Tier 1
CUST-0000049,Anamika Gopal,2023-11-26,2,4856,2428.0,747.0,2025-12-13,Meta,Y,Indore , Tier 2
CUST-0000051,Shivansh Bhasin,2025-08-27,1,3400,3400.0,,2025-08-27,Email/SMS,N,Mumbai , Tier 1
CUST-0000052,Yahvi Varughese,2023-08-18,2,5278,2639.0,224.0,2024-03-30,Offline (Friends/Family),Y,Lucknow , Tier 2
CUST-0000053,Neha Korpal,2024-11-23,1,2694,2694.0,,2024-11-23,Organic Instagram,N,Pune , Tier 1
CUST-0000056,Zayyan Wason,2024-09-19,1,2870,2870.0,,2024-09-19,Meta,N,Mumbai , Tier 1
CUST-0000058,Imaran Sastry,2025-03-05,1,3215,3215.0,,2025-03-05,Google,N,Kochi , Tier 2
CUST-0000059,Jairaj Garde,2023-08-26,3,8672,2890.67,531.0,2025-04-08,Influencer,Y,Kanpur , Tier 2
CUST-0000060,Chakradhar Raja,2023-03-11,1,1640,1640.0,,2023-03-11,Google,N,Bengaluru , Tier 1
CUST-0000061,Ekalinga Sood,2024-09-23,1,3229,3229.0,,2024-09-23,Google,N,Coimbatore , Tier 2
CUST-0000062,Chaaya Upadhyay,2023-11-30,1,2014,2014.0,,2023-11-30,Instagram DM,N,Mumbai , Tier 1
CUST-0000063,Mahika Dewan,2023-11-16,1,2052,2052.0,,2023-11-16,Offline (Friends/Family),N,Rajkot , Tier 2
CUST-0000065,Ekaja Brahmbhatt,2023-08-10,2,5519,2759.5,511.0,2025-01-02,Meta,Y,Kochi , Tier 2
CUST-0000066,Zinal Menon,2023-12-29,1,2509,2509.0,,2023-12-29,Influencer,N,Nagpur , Tier 2
CUST-0000067,Christopher Randhawa,2022-11-30,1,1455,1455.0,,2022-11-30,Meta,N,Dehradun , Tier 2
CUST-0000069,Jack Dugar,2023-04-19,3,8650,2883.33,266.0,2025-06-01,Google,Y,Patna , Tier 2
CUST-0000071,Ekantika Thakkar,2025-08-01,1,3138,3138.0,,2025-08-01,Instagram DM,N,Coimbatore , Tier 2
CUST-0000073,Vihaan Nazareth,2023-01-02,1,2194,2194.0,,2023-01-02,Influencer,N,Rajkot , Tier 2
CUST-0000075,Advay Agate,2023-08-02,2,4889,2444.5,158.0,2024-01-07,Influencer,Y,Nagpur , Tier 2
CUST-0000076,Farhan Sani,2022-06-02,1,2313,2313.0,,2022-06-02,Meta,N,Hyderabad , Tier 1
CUST-0000077,Alexander Bhavsar,2025-01-28,1,3846,3846.0,,2025-01-28,Influencer,N,Bengaluru , Tier 1
CUST-0000078,Naveen Gupta,2024-07-12,2,5443,2721.5,460.0,2025-10-16,Influencer,Y,Hyderabad , Tier 1
CUST-0000079,Chavvi Menon,2023-12-31,4,10651,2662.75,487.0,2025-10-16,Organic Instagram,Y,Bengaluru , Tier 1
CUST-0000081,Chaitanya Jaggi,2025-11-29,1,2733,2733.0,,2025-11-29,Meta,N,Patna , Tier 2
CUST-0000082,Harsh Khare,2022-05-12,4,9818,2454.5,533.0,2025-02-28,Google,Y,Ludhiana , Tier 2
CUST-0000085,Bina Batta,2022-05-20,4,9414,2353.5,434.0,2024-08-16,Influencer,Y,Kochi , Tier 2
CUST-0000086,Xavier Sahni,2025-10-22,1,3650,3650.0,,2025-10-22,Meta,N,Hyderabad , Tier 1
CUST-0000087,Arin Radhakrishnan,2024-11-04,1,2560,2560.0,,2024-11-04,Instagram DM,N,Mumbai , Tier 1
CUST-0000089,Pranav Rai,2022-03-26,3,7044,2348.0,31.0,2025-07-09,Meta,Y,Delhi , Tier 1
CUST-0000090,Wriddhish Parmar,2025-12-10,1,3773,3773.0,,2025-12-10,Organic Instagram,N,Jaipur , Tier 2
CUST-0000092,Mohammed Ben,2022-04-20,2,3444,1722.0,5.0,2022-04-26,Organic Instagram,Y,Jaipur , Tier 2
CUST-0000093,Lila Khanna,2023-09-17,3,8777,2925.67,581.0,2025-09-16,Meta,Y,Mumbai , Tier 1
CUST-0000096,Yochana Jani,2023-09-20,2,5671,2835.5,761.0,2025-10-21,Meta,Y,Delhi , Tier 1
CUST-0000099,Bahadurjit Randhawa,2023-06-26,5,13908,2781.6,520.0,2025-11-24,Meta,Y,Kolkata , Tier 1
CUST-0000101,Qushi Bhasin,2022-03-20,1,1980,1980.0,,2022-03-20,Influencer,N,Kochi , Tier 2
CUST-0000102,Janaki Mahal,2024-02-19,1,2206,2206.0,,2024-02-19,Meta,N,Pune , Tier 1
CUST-0000104,Janani Kala,2024-01-05,1,2684,2684.0,,2024-01-05,Organic Instagram,N,Surat , Tier 2
CUST-0000105,Christopher Mohanty,2023-04-20,2,4544,2272.0,244.0,2023-12-21,Google,Y,Mysuru , Tier 2
CUST-0000106,Madhav Kohli,2022-02-22,2,3183,1591.5,60.0,2022-04-23,Google,Y,Indore , Tier 2
CUST-0000107,Neelima Prashad,2025-02-26,1,2398,2398.0,,2025-02-26,Meta,N,Lucknow , Tier 2
CUST-0000109,Gaurangi Dewan,2022-09-10,1,1555,1555.0,,2022-09-10,Influencer,N,Jaipur , Tier 2
CUST-0000110,Rachita Kuruvilla,2022-12-21,1,1888,1888.0,,2022-12-21,Meta,N,Hyderabad , Tier 1
CUST-0000111,Kiaan Bhagat,2022-03-18,2,4319,2159.5,871.0,2024-08-05,Meta,Y,Mumbai , Tier 1
CUST-0000112,Nandini Kumer,2025-04-25,1,3000,3000.0,,2025-04-25,Meta,N,Hyderabad , Tier 1
CUST-0000114,Patrick Mangal,2022-01-23,2,4097,2048.5,449.0,2023-04-18,Meta,Y,Hyderabad , Tier 1
CUST-0000115,Dalaja Kala,2024-03-15,1,2779,2779.0,,2024-03-15,Offline (Friends/Family),N,Lucknow , Tier 2
CUST-0000116,Urishilla Oza,2022-12-03,1,1748,1748.0,,2022-12-03,Instagram DM,N,Bhopal , Tier 2
CUST-0000118,Lopa Sarraf,2024-09-01,1,3172,3172.0,,2024-09-01,Influencer,N,Pune , Tier 1
CUST-0000120,Raghav Edwin,2023-03-03,4,11105,2776.25,345.0,2025-11-08,Google,Y,Mumbai , Tier 1
CUST-0000121,Tarak Nagarajan,2024-05-10,1,2524,2524.0,,2024-05-10,Organic Instagram,N,Bengaluru , Tier 1
CUST-0000124,Harish Narayan,2023-11-30,2,5490,2745.0,616.0,2025-08-07,Meta,Y,Pune , Tier 1
CUST-0000125,Chandresh Pandey,2025-07-29,1,2718,2718.0,,2025-07-29,Meta,N,Mysuru , Tier 2
CUST-0000126,Max Batta,2023-10-09,1,2209,2209.0,,2023-10-09,Meta,N,Nagpur , Tier 2
CUST-0000127,Reva Minhas,2024-03-30,1,3058,3058.0,,2024-03-30,Instagram DM,N,Chennai , Tier 1
CUST-0000128,Hemang Iyer,2023-04-01,3,8252,2750.67,861.0,2025-09-05,Meta,Y,Delhi , Tier 1
CUST-0000129,Nathaniel Mandal,2022-10-19,1,1570,1570.0,,2022-10-19,Influencer,N,Mumbai , Tier 1
CUST-0000130,Zaitra Trivedi,2023-10-24,1,2756,2756.0,,2023-10-24,Email/SMS,N,Hyderabad , Tier 1
CUST-0000131,Jeevika Mohanty,2022-12-31,1,1828,1828.0,,2022-12-31,Google,N,Indore , Tier 2
CUST-0000135,Dayamai Seth,2022-01-15,1,1873,1873.0,,2022-01-15,Meta,N,Mumbai , Tier 1
CUST-0000137,Dayamai Buch,2023-08-08,2,5306,2653.0,445.0,2024-10-27,Meta,Y,Mumbai , Tier 1
CUST-0000138,Zaid Bahri,2025-03-26,1,3513,3513.0,,2025-03-26,Instagram DM,N,Gurgaon , Tier 2
CUST-0000139,Nidra Randhawa,2023-07-13,2,4313,2156.5,242.0,2024-03-12,Google,Y,Bengaluru , Tier 1
CUST-0000140,Tanvi Sachdev,2023-03-26,2,5148,2574.0,732.0,2025-03-27,Google,Y,Noida , Tier 2
CUST-0000141,David Joshi,2022-05-13,2,4038,2019.0,776.0,2024-06-28,Google,Y,Gurgaon , Tier 2
CUST-0000142,Manthan Narain,2024-05-23,1,2889,2889.0,,2024-05-23,Meta,N,Patna , Tier 2
CUST-0000143,Sara Sahota,2024-04-11,1,2327,2327.0,,2024-04-11,Meta,N,Bengaluru , Tier 1
CUST-0000144,Eiravati Karnik,2025-10-09,1,3713,3713.0,,2025-10-09,Meta,N,Ahmedabad , Tier 1
CUST-0000145,Aarini De,2022-04-18,1,2024,2024.0,,2022-04-18,Email/SMS,N,Mumbai , Tier 1
CUST-0000146,Aashi Doshi,2023-06-23,3,8183,2727.67,322.0,2025-01-06,Meta,Y,Jaipur , Tier 2
CUST-0000147,Balendra Bains,2023-11-14,1,1898,1898.0,,2023-11-14,Meta,N,Bhubaneswar , Tier 2
CUST-0000148,Dhruv Mohanty,2025-01-02,2,6040,3020.0,229.0,2025-08-20,Meta,Y,Kanpur , Tier 2
CUST-0000151,Yug Ganesh,2025-10-29,1,2911,2911.0,,2025-10-29,Organic Instagram,N,Bhopal , Tier 2
CUST-0000152,Yatin Misra,2023-07-05,1,2331,2331.0,,2023-07-05,Google,N,Lucknow , Tier 2
CUST-0000153,Pooja Naik,2022-10-02,2,5217,2608.5,1123.0,2025-10-29,Meta,Y,Kanpur , Tier 2
CUST-0000155,Aadhya Kalla,2025-12-01,1,2750,2750.0,,2025-12-01,Influencer,N,Kolkata , Tier 1
CUST-0000156,Vritti Bhargava,2023-02-09,2,5221,2610.5,771.0,2025-03-21,Meta,Y,Mumbai , Tier 1
CUST-0000157,Ridhi Rajagopalan,2022-05-09,1,2232,2232.0,,2022-05-09,Meta,N,Bengaluru , Tier 1
CUST-0000158,George Sankar,2024-12-29,2,5944,2972.0,274.0,2025-09-29,Meta,Y,Bhopal , Tier 2
CUST-0000161,Maanas Bedi,2025-01-14,2,6220,3110.0,7.0,2025-01-21,Influencer,Y,Chennai , Tier 1
CUST-0000162,Samaksh Swaminathan,2025-10-07,1,3394,3394.0,,2025-10-07,Instagram DM,N,Pune , Tier 1
CUST-0000163,Ganga Kamdar,2023-01-04,2,4118,2059.0,85.0,2023-03-31,Organic Instagram,Y,Kochi , Tier 2
CUST-0000164,Neha Hayre,2025-10-21,1,2772,2772.0,,2025-10-21,Meta,N,Lucknow , Tier 2
CUST-0000166,Vamakshi Sharaf,2025-10-26,1,3242,3242.0,,2025-10-26,Meta,N,Delhi , Tier 1
CUST-0000170,Urvi Brar,2023-03-04,4,10534,2633.5,175.0,2024-12-14,Email/SMS,Y,Indore , Tier 2
CUST-0000171,Faras Ravi,2023-08-16,1,2436,2436.0,,2023-08-16,Influencer,N,Nagpur , Tier 2
CUST-0000172,Yoshita Chokshi,2024-09-14,1,2572,2572.0,,2024-09-14,Google,N,Nagpur , Tier 2
CUST-0000173,Isaiah Wason,2022-01-12,2,4459,2229.5,868.0,2024-05-30,Instagram DM,Y,Mumbai , Tier 1
CUST-0000174,Lipika Dada,2023-01-24,1,1787,1787.0,,2023-01-24,Email/SMS,N,Bengaluru , Tier 1
CUST-0000175,Meghana Deo,2022-02-03,3,7580,2526.67,693.0,2024-03-19,Google,Y,Patna , Tier 2
CUST-0000179,Harini Saha,2022-11-21,1,2165,2165.0,,2022-11-21,Meta,N,Dehradun , Tier 2
CUST-0000180,Atharv Deol,2025-08-07,1,2740,2740.0,,2025-08-07,Google,N,Kochi , Tier 2
CUST-0000181,Aachal D’Alia,2025-05-04,1,3098,3098.0,,2025-05-04,Meta,N,Hyderabad , Tier 1
CUST-0000183,Teerth Mani,2022-02-20,4,8482,2120.5,62.0,2024-10-27,Google,Y,Delhi , Tier 1
CUST-0000184,Upadhriti Korpal,2022-02-20,2,3709,1854.5,0.0,2022-02-21,Meta,Y,Delhi , Tier 1
CUST-0000185,Farhan Balakrishnan,2025-08-11,1,2870,2870.0,,2025-08-11,Meta,N,Nagpur , Tier 2
CUST-0000187,Balendra Mukhopadhyay,2024-09-05,2,5776,2888.0,140.0,2025-01-24,Influencer,Y,Ahmedabad , Tier 1
